City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Hirara,JP,77.52,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
21,Hilo,US,77.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Meulaboh,ID,78.62,moderate rain,4.1363,96.1285,Kost Pria
24,Nanakuli,US,75.15,broken clouds,21.3906,-158.1547,Camp Pālehua
27,Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
28,Rikitea,PF,76.53,few clouds,-23.1203,-134.9692,People ThankYou
29,Labuhan,ID,81.16,overcast clouds,-6.8844,112.2051,DoubleFAG
34,Kuito,AO,75.34,scattered clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
35,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
36,Hithadhoo,MV,84.47,broken clouds,-0.6,73.0833,Scoop Guest House
42,Atuona,PF,78.82,scattered clouds,-9.8,-139.0333,Villa Enata
45,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,Cititel Penang
57,Namatanai,PG,80.2,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
59,Puerto Ayora,EC,76.96,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Lorengau,PG,83.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
69,Acapulco,MX,84.58,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
70,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
74,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
77,Humaita,BR,83.44,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
78,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
81,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
84,Aksu,CN,78.37,clear sky,41.1231,80.2644,Pudong Holiday Hotel
85,Buala,SB,79.86,light rain,-8.145,159.5921,Maringe Lagoon Lodge
90,Una,IN,83.55,clear sky,20.8167,71.0333,Hotel Harbhole
98,Mayumba,GA,80.26,light rain,-3.432,10.6554,LIKWALE LODGE
102,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
106,Cozumel,MX,87.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
112,Beira,MZ,77.09,clear sky,-19.8436,34.8389,Beira Terrace Hotel
115,Odweyne,SO,86.38,overcast clouds,9.4092,45.064,Eng Hiirey House
116,Jalu,LY,87.33,clear sky,29.0331,21.5482,صاحبة الفخامة
117,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
124,Caravelas,BR,76.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
125,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Sakakah,SA,81.97,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
127,Dakar,SN,88.68,few clouds,14.6937,-17.4441,Novotel Dakar
129,Lethem,GY,82.45,moderate rain,3.3803,-59.7968,Savannah Inn
132,Bengkulu,ID,78.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Barras,BR,86.43,overcast clouds,-4.2444,-42.2944,Hotel Alvorada
