,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,59.16,65,85,15.05,overcast clouds
1,Halifax,CA,44.6453,-63.5724,52.29,93,100,6.91,mist
2,Rikitea,PF,-23.1203,-134.9692,77.5,81,9,20.29,clear sky
3,Shingu,JP,33.7333,135.9833,64.44,91,100,7.67,overcast clouds
4,Viedma,AR,-40.8135,-62.9967,54.93,59,100,11.5,overcast clouds
5,Radcliff,US,37.8404,-85.9491,89.98,54,20,8.05,few clouds
6,Csenger,HU,47.8358,22.681,59.05,72,99,4.9,overcast clouds
7,Jalu,LY,29.0331,21.5482,73.13,44,100,15.19,light rain
8,Bluff,NZ,-46.6,168.3333,51.8,81,17,15.61,few clouds
9,Seoul,KR,37.5683,126.9778,54.84,62,100,2.53,overcast clouds
10,Jagtial,IN,18.8,78.9333,87.8,55,100,9.28,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,49.66,57,75,18.41,broken clouds
12,Upernavik,GL,72.7868,-56.1549,22.64,81,89,7.16,overcast clouds
13,Souillac,MU,-20.5167,57.5167,74.25,86,0,4.92,clear sky
14,Maitum,PH,6.0392,124.4986,79.45,83,98,3.78,overcast clouds
15,Faanui,PF,-16.4833,-151.75,81.79,76,16,17.34,light rain
16,Hermanus,ZA,-34.4187,19.2345,57.74,79,0,6.04,clear sky
17,Orasac,BA,44.6289,16.0711,57.22,86,55,4.79,broken clouds
18,Albany,US,42.6001,-73.9662,80.02,20,1,5.3,clear sky
19,Lebu,CL,-37.6167,-73.65,56.03,72,95,4.32,overcast clouds
20,East London,ZA,-33.0153,27.9116,61.79,74,7,6.71,clear sky
21,Cravo Norte,CO,6.3017,-70.2041,83.44,73,92,5.61,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,3.44,clear sky
23,Paamiut,GL,61.994,-49.6678,37.53,85,100,24.61,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.36,73,75,12.66,broken clouds
25,Rundu,NA,-17.9333,19.7667,59.45,25,0,3.15,clear sky
26,Nikolskoye,RU,59.7035,30.7861,47.8,97,100,3.78,overcast clouds
27,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,17.27,scattered clouds
28,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,4.61,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,47,4.0,scattered clouds
30,Busselton,AU,-33.65,115.3333,56.25,91,100,16.44,light rain
31,Husavik,IS,66.0449,-17.3389,32.86,92,100,9.55,overcast clouds
32,Hilo,US,19.7297,-155.09,84.27,71,75,11.5,broken clouds
33,Codrington,AU,-38.2667,141.9667,56.3,94,100,6.22,overcast clouds
34,Nowy Sacz,PL,49.6218,20.6971,64.6,76,66,5.99,broken clouds
35,Kalispell,US,48.1958,-114.3129,59.29,29,0,6.91,clear sky
36,Fortuna,US,40.5982,-124.1573,60.85,68,100,9.22,overcast clouds
37,Cape Town,ZA,-33.9258,18.4232,57.11,90,0,1.01,clear sky
38,Dunedin,NZ,-45.8742,170.5036,49.46,68,1,7.56,clear sky
39,Barrow,US,71.2906,-156.7887,28.42,86,100,17.27,overcast clouds
40,Laguna,US,38.421,-121.4238,71.89,30,0,11.5,clear sky
41,Khatanga,RU,71.9667,102.5,20.32,95,39,12.55,scattered clouds
